weight,height,age,activity_level,goal,BMI
86,1.83,23,1,general,25.7
109,1.83,47,3,weight_loss,32.5
75,1.73,28,2,muscle_gain,25.1
85,1.71,37,1,general,29.1
102,1.85,32,2,weight_loss,29.8
111,1.77,22,1,weight_loss,35.4
63,1.66,19,3,weight_loss,22.9
106,1.70,33,1,muscle_gain,36.7
94,1.69,44,2,weight_loss,32.9
73,1.87,26,3,general,20.9
80,1.57,30,2,weight_loss,32.5
79,1.82,21,1,weight_loss,23.8
92,1.60,55,3,general,35.9
66,1.85,27,3,general,19.3
47,1.72,18,1,muscle_gain,15.9
57,1.74,40,1,muscle_gain,18.8
87,1.57,23,3,general,35.3
85,1.84,36,2,muscle_gain,25.1
113,1.74,32,3,general,37.3
49,1.58,20,2,muscle_gain,19.6
53,1.70,29,1,general,18.3
67,1.79,34,3,general,20.9
60,1.75,33,2,weight_loss,19.6
93,1.71,25,1,general,31.8
100,1.87,42,2,muscle_gain,28.6
71,1.66,41,3,general,25.8
114,1.92,50,2,general,31.0
115,1.53,33,1,muscle_gain,49.1
112,1.57,54,2,weight_loss,45.4
90,1.63,40,3,weight_loss,33.9
85,1.69,19,1,general,29.8
88,1.59,37,1,weight_loss,34.8
78,1.75,22,2,general,25.5
95,1.90,28,3,weight_loss,26.3
103,1.52,58,2,general,44.6
64,1.86,20,3,weight_loss,18.5
55,1.51,18,1,muscle_gain,24.1
119,1.73,43,3,general,39.7
62,1.63,23,3,weight_loss,23.3
91,1.61,39,1,muscle_gain,35.1
87,1.71,52,3,general,29.8
94,1.91,47,2,general,25.8
66,1.89,21,1,muscle_gain,18.5
118,1.75,31,2,muscle_gain,38.5
81,1.77,28,1,weight_loss,25.8
100,1.60,48,3,weight_loss,39.1
59,1.94,19,3,general,15.7
99,1.64,44,1,weight_loss,36.8
83,1.67,26,1,general,29.8
114,1.90,29,2,weight_loss,31.6
58,1.56,17,3,general,23.8
69,1.70,24,3,muscle_gain,23.9
102,1.86,46,1,weight_loss,29.5
92,1.71,20,2,muscle_gain,31.5
117,1.69,52,3,weight_loss,41.0
63,1.64,33,1,general,23.4
75,1.87,27,2,weight_loss,21.4
116,1.58,49,1,muscle_gain,46.5
108,1.74,55,3,general,35.7
47,1.67,17,2,muscle_gain,16.8
55,1.68,19,1,general,19.5
95,1.83,26,2,muscle_gain,28.4
79,1.62,38,3,weight_loss,30.1
120,1.93,42,1,weight_loss,32.2
51,1.55,20,2,muscle_gain,21.2
61,1.74,30,3,general,20.2
77,1.72,27,2,weight_loss,26.0
88,1.79,25,3,weight_loss,27.5
93,1.91,50,1,general,25.6
59,1.88,22,2,weight_loss,16.7
52,1.63,18,1,muscle_gain,19.6
107,1.77,45,3,weight_loss,34.1
85,1.89,31,3,muscle_gain,23.8
82,1.66,24,1,general,29.8
97,1.60,29,1,muscle_gain,37.9
54,1.54,20,2,general,22.8
67,1.72,21,2,weight_loss,22.6
118,1.68,38,3,weight_loss,41.8
116,1.62,34,1,weight_loss,44.3
48,1.64,17,3,general,17.8
112,1.73,36,1,general,37.4
62,1.87,28,1,weight_loss,17.7
97,1.75,30,2,weight_loss,31.7
111,1.69,42,3,general,38.8
58,1.93,19,2,muscle_gain,15.6
84,1.55,33,1,weight_loss,34.9
101,1.61,40,1,general,39.0
48,1.69,26,3,muscle_gain,16.8
98,1.80,45,3,muscle_gain,30.2
73,1.63,37,2,weight_loss,27.5
117,1.57,48,1,weight_loss,47.5
88,1.90,35,2,general,24.4
66,1.76,21,2,muscle_gain,21.3
90,1.70,54,1,general,31.1
119,1.67,44,2,weight_loss,42.7
49,1.75,19,2,general,16.0
106,1.68,40,3,muscle_gain,37.6
57,1.78,25,3,general,18.0
82,1.58,23,2,weight_loss,32.8
55,1.63,18,1,muscle_gain,20.7
94,1.85,33,3,general,27.5
100,1.91,30,1,weight_loss,27.4
118,1.56,55,1,general,48.6
99,1.74,48,3,weight_loss,32.7
78,1.79,22,2,muscle_gain,24.3
85,1.75,27,1,general,27.8
90,1.62,26,3,weight_loss,34.3
76,1.90,35,1,weight_loss,21.0
104,1.81,31,2,weight_loss,31.7
112,1.87,29,3,muscle_gain,32.0
48,1.59,17,1,general,19.0
74,1.67,22,3,weight_loss,26.5
115,1.71,52,1,weight_loss,39.3
86,1.56,28,2,muscle_gain,35.4
71,1.85,20,3,general,20.7
92,1.79,25,1,weight_loss,28.7
66,1.58,19,2,muscle_gain,26.4
119,1.65,58,1,general,43.7
60,1.86,34,2,general,17.4
57,1.72,19,1,general,19.3
89,1.64,32,2,muscle_gain,33.1
69,1.80,37,2,general,21.3
111,1.82,45,3,weight_loss,33.5
90,1.55,16,1,weight_loss,37.4
72,1.73,23,1,muscle_gain,24.1
117,1.84,34,3,weight_loss,34.5
81,1.71,20,1,general,27.7
75,1.67,22,3,muscle_gain,26.9
93,1.77,31,1,weight_loss,29.7
120,1.63,50,3,muscle_gain,45.1
115,1.75,48,2,weight_loss,37.6
63,1.92,18,3,general,17.1
116,1.72,51,1,weight_loss,39.2
59,1.71,22,2,general,20.2
98,1.90,40,3,muscle_gain,27.1
104,1.65,53,2,general,38.2
96,1.82,19,1,general,29.0
47,1.60,17,1,muscle_gain,18.4
62,1.76,20,3,weight_loss,20.0
86,1.79,26,2,weight_loss,26.8
57,1.90,18,2,general,15.8
53,1.75,17,1,muscle_gain,17.3
80,1.69,36,3,weight_loss,28.0
111,1.87,33,1,general,31.7
49,1.63,16,3,muscle_gain,18.4
93,1.79,40,1,weight_loss,29.0
118,1.69,44,2,muscle_gain,41.3
63,1.72,19,1,general,21.3
102,1.91,32,1,weight_loss,28.0
54,1.77,18,2,muscle_gain,17.2
109,1.67,55,3,weight_loss,39.1
60,1.68,19,1,general,21.3
115,1.80,41,3,weight_loss,35.5
94,1.55,27,1,general,39.1
83,1.83,34,2,general,24.8
52,1.56,16,2,muscle_gain,21.4
110,1.64,58,3,weight_loss,40.9
72,1.67,25,1,general,25.8
120,1.76,38,3,weight_loss,38.7
84,1.91,20,2,muscle_gain,23.0
76,1.63,24,1,muscle_gain,28.6
67,1.70,21,1,general,23.2
109,1.88,46,2,weight_loss,30.8
104,1.74,50,1,muscle_gain,34.3
72,1.66,22,2,weight_loss,26.1
51,1.65,17,1,general,18.7
90,1.82,33,1,muscle_gain,27.2
119,1.75,43,3,general,38.8
93,1.63,29,1,weight_loss,35.0
84,1.60,20,3,muscle_gain,32.8
115,1.95,41,2,weight_loss,30.2
108,1.90,47,1,general,29.9
61,1.87,17,2,weight_loss,17.5
73,1.76,19,3,muscle_gain,23.6
99,1.69,26,1,general,34.7
60,1.57,18,2,weight_loss,24.4
117,1.84,52,3,muscle_gain,34.6
96,1.60,33,1,weight_loss,37.5
78,1.78,20,2,general,24.6
50,1.69,16,1,muscle_gain,17.5
112,1.74,55,3,weight_loss,37.0
105,1.81,49,2,general,32.0
88,1.66,22,1,muscle_gain,31.9
52,1.62,17,3,weight_loss,19.8
107,1.92,36,1,general,29.0
118,1.55,59,2,weight_loss,49.1
61,1.75,20,1,general,19.9
68,1.80,24,3,general,21.0
112,1.83,48,2,general,33.4
95,1.65,31,1,weight_loss,34.9
73,1.72,19,3,muscle_gain,24.7
100,1.61,40,1,weight_loss,38.6
60,1.70,29,2,general,20.8
84,1.76,22,3,weight_loss,27.1
115,1.68,43,3,muscle_gain,40.7
88,1.90,35,1,general,24.4
51,1.66,16,2,muscle_gain,18.5
72,1.85,23,3,general,21.0
